Parent - Child Weight Probability Score
HOXA10 -| TCF3 -0.052945 0.910182 -0.094324
KLF13 -| TCF3 -0.084597 0.999892 -0.165569
MYEF2 -| TCF3 -0.061784 0.958860 -0.115958
SMAD3 -| TCF3 -0.051278 0.882138 -0.088540
SNAI1 -| TCF3 -0.090612 0.999444 -0.177262
SP3 -| TCF3 -0.033987 0.986262 -0.065612
BCL6 -| TCFL5 -0.043447 0.969544 -0.082452
EGR2 -| TCFL5 -0.026850 0.664264 -0.034911
FLI1 -| TCFL5 -0.051412 0.998105 -0.100441
HOXA10 -| TCFL5 -0.045740 0.922216 -0.082567
HOXA13 -| TCFL5 -0.053109 0.950645 -0.098823
JUN -| TCFL5 -0.035249 0.793552 -0.054751
MAFB -| TCFL5 -0.080421 0.999984 -0.157412
MYB -| TCFL5 -0.016084 0.513280 -0.016159
MYEF2 -| TCFL5 -0.039964 0.815194 -0.063768
NFE2L1 -| TCFL5 -0.061928 0.996234 -0.120760
NFYA -| TCFL5 -0.010767 0.590097 -0.012437
PPARD -| TCFL5 -0.039295 0.990467 -0.076182
SMAD4 -> TCFL5 0.350773 0.998051 0.685253
SNAI3 -| TCFL5 -0.036839 0.740350 -0.053385
SP3 -| TCFL5 -0.038218 0.998286 -0.074678
TFPT -| TCFL5 -0.032617 0.744310 -0.047520
UHRF1 -| TCFL5 -0.028417 0.569792 -0.031693
CEBPD -| TFPT -0.113593 0.999986 -0.222340
EGR2 -| TFPT -0.076598 0.997415 -0.149542
FLI1 -> TFPT 0.239374 0.991197 0.464418
MYB -| TFPT -0.158183 0.999999 -0.309622
MYEF2 -| TFPT -0.116366 0.999985 -0.227767
NFATC2 -| TFPT -0.049112 0.764374 -0.073479
RUNX1 -| TFPT -0.086357 0.999839 -0.169006
SNAI1 -| TFPT -0.041567 0.529086 -0.043047
SP3 -> TFPT 0.272099 0.999896 0.532542
SPI1 -| TFPT -0.102434 0.999993 -0.200499
STAT1 -> TFPT 0.262419 0.999505 0.513396
TFPT -> TFPT 0.213059 0.978782 0.408186
BCL6 -| TRIM28 -0.035415 0.925067 -0.064125
CEBPD -> TRIM28 0.127956 0.999999 0.250457
EGR2 -| TRIM28 -0.033551 0.893856 -0.058701
FOS -| TRIM28 -0.027820 0.796494 -0.043373
FOSB -> TRIM28 0.097791 0.997776 0.190988
JUN -| TRIM28 -0.027665 0.639791 -0.034646
RREB1 -> TRIM28 0.131184 1.000000 0.256776
RUNX1 -> TRIM28 0.121061 0.999971 0.236954
SMAD3 -| TRIM28 -0.049224 0.991904 -0.095570
SMAD4 -> TRIM28 0.205027 1.000000 0.401314
SNAI1 -| TRIM28 -0.044437 0.971358 -0.084487
STAT1 -> TRIM28 0.167721 1.000000 0.328291
TCF3 -| TRIM28 -0.042822 0.979911 -0.082134
TCFL5 -> TRIM28 0.092210 0.981868 0.177216
TRIM28 -> TRIM28 0.197933 1.000000 0.387427
CEBPB -> UHRF1 0.259848 0.999945 0.508589
FOS -| UHRF1 -0.153372 0.852511 -0.255929
FOSB -> UHRF1 0.240381 0.997567 0.469368
IRF8 -> UHRF1 0.167804 0.907791 0.298167
KLF10 -> UHRF1 0.252370 0.999973 0.493967
MYB -| UHRF1 -0.130754 0.651596 -0.166765
NFATC2 -> UHRF1 0.172578 0.937382 0.316646
NFYC -| UHRF1 -0.122639 0.677600 -0.162658
RREB1 -> UHRF1 0.276975 0.999999 0.542140
SMAD4 -> UHRF1 0.358754 1.000000 0.702213
SP3 -| UHRF1 -0.215052 0.998662 -0.420372
SPI1 -> UHRF1 0.122711 0.671352 0.161252
STAT1 -> UHRF1 0.146704 0.905148 0.259917
TCFL5 -> UHRF1 0.185063 0.954122 0.345617
TRIM28 -> UHRF1 0.510891 1.000000 1.000000
UHRF1 -| UHRF1 -0.129206 0.559472 -0.141492
EGR2 -| VDR -0.046459 0.842358 -0.076602
ELK1 -| VDR -0.060320 0.803414 -0.094859
FLI1 -| VDR -0.115134 0.999996 -0.225358
FOS -| VDR -0.043228 0.876933 -0.074200
JUN -| VDR -0.065061 0.961158 -0.122402
NFYC -| VDR -0.055224 0.995200 -0.107574
TFPT -| VDR -0.099099 0.999178 -0.193814
UHRF1 -| VDR -0.066156 0.955455 -0.123724
