Parent	Child	-	Weight	Probability	Score
G75	G18	1	0.141033	0.945184	0.407992
G76	G18	1	0.102147	0.759235	0.237365
G81	G18	1	0.134582	0.909579	0.374664
G88	G18	-1	-0.106291	0.612075	-0.199121
G91	G18	-1	-0.14883	0.981264	-0.446985
G92	G18	1	0.081178	0.545776	0.135602
G93	G18	1	0.087955	0.688755	0.185413
G94	G18	1	0.085691	0.576079	0.151089
G95	G18	1	0.090508	0.649582	0.179944
G96	G18	-1	-0.095678	0.749647	-0.219525
G97	G18	1	0.100782	0.625319	0.192885
G98	G18	1	0.111964	0.864566	0.296274
G100	G18	-1	-0.07105	0.536597	-0.116689
G3	G19	1	0.060828	0.53369	0.099359
G8	G19	1	0.159469	0.997525	0.486874
G16	G19	1	0.086167	0.63017	0.166195
G19	G19	-1	-0.105441	0.699236	-0.225657
G22	G19	1	0.106934	0.791938	0.259194
G28	G19	-1	-0.079671	0.628318	-0.153212
G29	G19	1	0.093376	0.776629	0.221954
G30	G19	-1	-0.07427	0.635871	-0.144544
G33	G19	-1	-0.115301	0.819989	-0.289372
G35	G19	1	0.083276	0.799595	0.203801
G42	G19	-1	-0.073028	0.672229	-0.150252
G48	G19	-1	-0.077304	0.681295	-0.161196
G49	G19	1	0.077939	0.630318	0.150359
G62	G19	1	0.075146	0.564094	0.129741
G68	G19	1	0.112832	0.938726	0.324179
G70	G19	-1	-0.087228	0.56017	-0.149551
G71	G19	-1	-0.110457	0.87123	-0.294538
G75	G19	1	0.083801	0.738528	0.189423
G81	G19	-1	-0.12956	0.965664	-0.382924
G84	G19	-1	-0.178159	0.993438	-0.541706
G87	G19	1	0.096716	0.695277	0.205813
G89	G19	1	0.073025	0.52649	0.117673
G98	G19	-1	-0.06174	0.543058	-0.102619
G99	G19	-1	-0.124428	0.981455	-0.373769
G1	G20	1	0.078282	0.590175	0.141403
G3	G20	-1	-0.068762	0.627884	-0.132144
G5	G20	1	0.094118	0.896609	0.258279
G6	G20	1	0.140132	0.895486	0.384072
G10	G20	-1	-0.068091	0.546442	-0.113881
G11	G20	1	0.082975	0.53213	0.135138
G12	G20	1	0.06798	0.542014	0.112774
G14	G20	-1	-0.172865	0.983058	-0.520119
G15	G20	1	0.083918	0.541165	0.138995
G23	G20	1	0.070072	0.54792	0.117511
G25	G20	1	0.075912	0.523417	0.121612
G28	G20	-1	-0.087315	0.713931	-0.190793
G31	G20	-1	-0.099316	0.750965	-0.228272
G32	G20	1	0.166851	0.959093	0.489785
G33	G20	-1	-0.075449	0.543704	-0.125555
G46	G20	1	0.060073	0.505325	0.092911
G48	G20	1	0.107388	0.933669	0.306878
G51	G20	1	0.064524	0.541394	0.106917
G55	G20	-1	-0.087677	0.785631	-0.210823
G57	G20	1	0.091234	0.787325	0.219849
G60	G20	1	0.090004	0.703764	0.193866
G63	G20	-1	-0.086286	0.854352	-0.225629
G77	G20	1	0.104988	0.847559	0.272348
G85	G20	-1	-0.063721	0.573341	-0.111817
G87	G20	1	0.113094	0.828944	0.286933
G96	G20	-1	-0.086372	0.843103	-0.222879
G99	G20	-1	-0.103975	0.931581	-0.296458
G100	G20	1	0.072736	0.707965	0.157608
G3	G21	1	0.086127	0.629264	0.165877
G5	G21	1	0.081113	0.609848	0.151402
G7	G21	1	0.072382	0.533063	0.118094
G18	G21	-1	-0.133865	0.916401	-0.375464
G24	G21	-1	-0.115532	0.772307	-0.27309
G26	G21	1	0.217092	0.99993	0.664398
G28	G21	-1	-0.125064	0.825767	-0.316087
G32	G21	1	0.096183	0.503094	0.148103
G35	G21	1	0.148224	0.980486	0.444811
G42	G21	-1	-0.119783	0.891028	-0.326665
G44	G21	-1	-0.07813	0.512459	-0.122543
G45	G21	-1	-0.104275	0.805773	-0.257163
G50	G21	1	0.101137	0.613034	0.189763
G51	G21	-1	-0.238207	0.999997	-0.729071
G54	G21	1	0.111129	0.659427	0.22429
G55	G21	1	0.123645	0.874965	0.331117
G56	G21	1	0.120315	0.831573	0.306222
G57	G21	-1	-0.123376	0.83389	-0.314887
G58	G21	1	0.150795	0.914222	0.421944
G59	G21	-1	-0.161986	0.885014	-0.438778
G62	G21	-1	-0.096738	0.608785	-0.18025
G63	G21	-1	-0.083502	0.633023	-0.161783
G67	G21	-1	-0.16282	0.962939	-0.479867
G73	G21	1	0.146678	0.863102	0.387474
G75	G21	-1	-0.249928	0.99999	-0.764937
G80	G21	1	0.096826	0.518962	0.153795
G81	G21	1	0.102674	0.700107	0.220009
G83	G21	1	0.20707	0.999889	0.633701
G84	G21	-1	-0.217466	0.99302	-0.660944
G85	G21	1	0.184278	0.996716	0.562162
G87	G21	-1	-0.108583	0.632319	-0.210142
G88	G21	1	0.105348	0.605853	0.195348
G89	G21	1	0.192059	0.998244	0.586796
G91	G21	-1	-0.17319	0.996324	-0.528129
G93	G21	1	0.127079	0.93414	0.363332
G94	G21	1	0.101343	0.688855	0.213666
G100	G21	1	0.10637	0.837177	0.272554
G1	G22	1	0.093358	0.671867	0.191978
G3	G22	1	0.080394	0.703623	0.173133
G4	G22	-1	-0.150235	0.984906	-0.452877
G7	G22	-1	-0.093811	0.855037	-0.245501
G8	G22	-1	-0.103786	0.863249	-0.274214
G12	G22	1	0.107302	0.844269	0.277272
G22	G22	1	0.155192	0.97141	0.461409
G23	G22	-1	-0.127566	0.93142	-0.363661
G26	G22	1	0.117816	0.966186	0.348401
G28	G22	1	0.115373	0.889855	0.314224
G31	G22	1	0.115714	0.823986	0.291823
G41	G22	1	0.129626	0.894653	0.354946
G43	G22	1	0.107509	0.918422	0.302206
G45	G22	1	0.066072	0.58121	0.117535
G48	G22	-1	-0.074347	0.60326	-0.137273
G50	G22	1	0.154676	0.979345	0.463633
G51	G22	-1	-0.079915	0.664828	-0.162611
G52	G22	1	0.08154	0.740097	0.184703
G54	G22	1	0.091844	0.639584	0.17979
G55	G22	1	0.09708	0.817757	0.24298
G62	G22	-1	-0.102391	0.784216	-0.245762
G65	G22	1	0.138274	0.9804	0.414914
G66	G22	-1	-0.136706	0.958132	-0.400892
G76	G22	-1	-0.091121	0.780256	-0.217607
G79	G22	-1	-0.121766	0.853053	-0.317919
G84	G22	1	0.132594	0.891628	0.361845
G87	G22	1	0.105335	0.728189	0.234765
G89	G22	1	0.10837	0.839764	0.278535
G90	G22	-1	-0.078926	0.694208	-0.167698
G93	G22	1	0.156263	0.998476	0.47754
G94	G22	1	0.067589	0.51557	0.106654
G96	G22	-1	-0.07773	0.703552	-0.167378
G100	G22	-1	-0.058217	0.503632	-0.089739
G1	G23	1	0.136223	0.762622	0.317961
G3	G23	1	0.092385	0.603803	0.17073
G4	G23	1	0.117014	0.711592	0.254851
G10	G23	1	0.179879	0.978481	0.538703
G12	G23	1	0.226422	0.997858	0.691516
G13	G23	1	0.155102	0.708477	0.336325
G16	G23	-1	-0.196081	0.977876	-0.586862
G19	G23	1	0.111095	0.538577	0.183129
G20	G23	1	0.181883	0.843388	0.469499
G24	G23	1	0.098497	0.555855	0.167572
G26	G23	1	0.098901	0.662893	0.200659
G28	G23	1	0.231711	0.999157	0.708592
G29	G23	1	0.111743	0.666159	0.227832
G30	G23	1	0.103497	0.647194	0.205011
G40	G23	1	0.110774	0.784647	0.266027
G49	G23	-1	-0.193024	0.987909	-0.583639
G52	G23	-1	-0.186894	0.993938	-0.568553
G55	G23	-1	-0.112457	0.72141	-0.248305
G62	G23	-1	-0.245179	0.999698	-0.750183
G64	G23	1	0.103381	0.621355	0.196607
G65	G23	1	0.118654	0.75854	0.275471
G67	G23	-1	-0.120984	0.726286	-0.268938
G68	G23	1	0.08613	0.51524	0.135825
G69	G23	-1	-0.168448	0.945298	-0.48736
G70	G23	1	0.205726	0.956845	0.602484
G71	G23	1	0.127469	0.740726	0.288987
G73	G23	1	0.217862	0.985132	0.656887
G74	G23	1	0.09165	0.503916	0.141353
G76	G23	-1	-0.130966	0.874356	-0.350478
G78	G23	1	0.20774	0.95094	0.604629
G80	G23	1	0.15098	0.740337	0.34211
G85	G23	-1	-0.084203	0.540503	-0.139296
G88	G23	-1	-0.178121	0.907919	-0.494969
G89	G23	1	0.148368	0.886822	0.402709
G90	G23	-1	-0.080921	0.507865	-0.125783
G91	G23	1	0.184987	0.994557	0.563103
G92	G23	1	0.095809	0.579579	0.169954
G95	G23	1	0.148272	0.907911	0.412019
G3	G24	1	0.097737	0.727509	0.217627
G5	G24	-1	-0.202087	0.999593	-0.61827
G7	G24	1	0.087506	0.677293	0.181397
G9	G24	1	0.113447	0.593835	0.206193
G10	G24	1	0.11448	0.782816	0.274286
G12	G24	1	0.185231	0.992852	0.562877
G13	G24	1	0.125672	0.637421	0.245177
G17	G24	-1	-0.091694	0.59118	-0.165911
G20	G24	1	0.148614	0.768987	0.349779
G24	G24	1	0.291015	1	0.890699
G25	G24	-1	-0.16454	0.893527	-0.449981
G28	G24	1	0.212646	0.999415	0.650456
G29	G24	1	0.090761	0.58668	0.162974
G31	G24	1	0.091198	0.519587	0.145031
G41	G24	1	0.165812	0.946252	0.480217
G44	G24	1	0.088974	0.60071	0.163585
G52	G24	1	0.10878	0.839061	0.279355
G53	G24	1	0.09373	0.613966	0.176132
G59	G24	1	0.124745	0.689711	0.263334
G62	G24	-1	-0.156467	0.95029	-0.455086
G64	G24	-1	-0.10863	0.732633	-0.243585
G69	G24	-1	-0.149967	0.939181	-0.431081
G74	G24	1	0.140906	0.921735	0.397513
G76	G24	-1	-0.177796	0.998636	-0.54343
G80	G24	1	0.233196	0.995863	0.710782
G82	G24	1	0.095865	0.520937	0.152849
G85	G24	-1	-0.102119	0.756208	-0.236355
G86	G24	-1	-0.131346	0.745529	-0.299708
G88	G24	-1	-0.153332	0.880378	-0.413159
G90	G24	1	0.087363	0.639114	0.170893
G91	G24	1	0.152889	0.985143	0.460989
G92	G24	1	0.164953	0.979665	0.4946
G95	G24	1	0.117744	0.829162	0.298809
G99	G24	1	0.082176	0.589939	0.148377
G3	G25	1	0.120412	0.957774	0.352978
G8	G25	-1	-0.071536	0.588934	-0.128945
G13	G25	1	0.086615	0.528409	0.14008
G15	G25	1	0.112703	0.690323	0.238125
G16	G25	-1	-0.109435	0.789806	-0.26454
G18	G25	-1	-0.153344	0.991895	-0.465529
G32	G25	-1	-0.092589	0.562065	-0.15928
G34	G25	1	0.088189	0.582559	0.157243
G36	G25	1	0.081932	0.711508	0.178423
G40	G25	1	0.116086	0.962275	0.341897
G46	G25	1	0.07977	0.6867	0.167658
G47	G25	1	0.103237	0.880259	0.278138
G49	G25	-1	-0.132877	0.966676	-0.39314
G56	G25	1	0.079295	0.605161	0.14687
G57	G25	-1	-0.08548	0.667001	-0.174503
G61	G25	1	0.120058	0.77782	0.285815
G63	G25	1	0.124387	0.982115	0.373899
G64	G25	-1	-0.068967	0.522471	-0.110286
G67	G25	-1	-0.135977	0.95931	-0.399245
G72	G25	1	0.12043	0.887647	0.327182
G74	G25	1	0.121187	0.926996	0.343834
G75	G25	1	0.114899	0.915932	0.322104
G77	G25	-1	-0.10303	0.751498	-0.236978
G80	G25	1	0.085084	0.536147	0.13962
G83	G25	1	0.112324	0.954349	0.328092
G86	G25	-1	-0.091988	0.614102	-0.172898
G92	G25	1	0.06611	0.514547	0.104113
G95	G25	1	0.105615	0.874945	0.282829
G97	G25	1	0.113998	0.827288	0.288648
G99	G25	-1	-0.09587	0.855708	-0.251086
G100	G25	-1	-0.124	0.977635	-0.371034
G1	G26	1	0.186159	0.989377	0.563717
G2	G26	1	0.147709	0.903817	0.408605
G3	G26	-1	-0.083215	0.636877	-0.162209
G7	G26	1	0.09848	0.813051	0.245064
G10	G26	1	0.126016	0.888718	0.342771
G11	G26	-1	-0.18943	0.941743	-0.546005
G20	G26	1	0.150364	0.815916	0.375496
G21	G26	1	0.137162	0.868293	0.364515
G30	G26	-1	-0.088144	0.644019	-0.173744
G32	G26	-1	-0.118638	0.636383	-0.231077
G33	G26	1	0.109187	0.67049	0.224067
G35	G26	-1	-0.081683	0.657747	-0.164439
G36	G26	1	0.152487	0.996887	0.465257
G38	G26	1	0.096999	0.561437	0.166681
G42	G26	1	0.069246	0.511302	0.108365
G45	G26	1	0.106037	0.849434	0.275677
G46	G26	1	0.136438	0.972874	0.406264
G50	G26	1	0.103665	0.664623	0.210873
G51	G26	1	0.225527	0.999997	0.690259
G53	G26	-1	-0.109041	0.755189	-0.252035
G54	G26	1	0.095006	0.588005	0.170982
G57	G26	1	0.148	0.967591	0.438297
G64	G26	-1	-0.104549	0.749267	-0.239757
G65	G26	1	0.306909	1	0.939346
G66	G26	1	0.107349	0.729343	0.239632
G69	G26	1	0.119888	0.851884	0.312587
G71	G26	1	0.099754	0.662141	0.20216
G72	G26	1	0.083622	0.508009	0.130019
G75	G26	1	0.213332	0.999762	0.652783
G76	G26	1	0.076697	0.517406	0.121458
G77	G26	-1	-0.162753	0.967799	-0.482091
G80	G26	1	0.112609	0.638404	0.220031
G82	G26	1	0.112757	0.644878	0.222555
G84	G26	1	0.109676	0.683966	0.229595
G92	G26	-1	-0.163494	0.984353	-0.492571
G93	G26	-1	-0.154315	0.990956	-0.468034
G98	G26	1	0.072456	0.551913	0.122394
G1	G27	1	0.100874	0.676889	0.208983
G2	G27	1	0.082456	0.536798	0.135473
G5	G27	1	0.109734	0.908951	0.305279
G7	G27	1	0.06881	0.559955	0.117929
G8	G27	1	0.123925	0.921693	0.349591
G10	G27	-1	-0.108743	0.80824	-0.269003
G11	G27	-1	-0.164313	0.889013	-0.44709
G13	G27	1	0.117339	0.651388	0.233937
G15	G27	1	0.088088	0.501323	0.13516
G21	G27	1	0.103808	0.659917	0.209669
G23	G27	-1	-0.136646	0.927845	-0.388051
G25	G27	-1	-0.127016	0.77378	-0.30081
G27	G27	1	0.069817	0.524351	0.112047
G34	G27	1	0.105093	0.65382	0.210305
G35	G27	1	0.101223	0.856419	0.265327
G36	G27	1	0.101857	0.853417	0.266052
G37	G27	1	0.080041	0.611115	0.149709
G39	G27	1	0.10243	0.640283	0.200731
G44	G27	1	0.072641	0.517103	0.114967
G46	G27	-1	-0.070277	0.510937	-0.109899
G48	G27	1	0.098129	0.767204	0.230423
G49	G27	1	0.153804	0.982027	0.462283
G52	G27	-1	-0.149324	0.990244	-0.452571
G54	G27	1	0.155044	0.930652	0.441631
G55	G27	1	0.119361	0.903153	0.329943
G62	G27	-1	-0.152852	0.972173	-0.454809
G63	G27	1	0.160718	0.997468	0.490658
G64	G27	-1	-0.145558	0.967205	-0.430895
G65	G27	1	0.084394	0.643475	0.166211
G66	G27	1	0.149126	0.964454	0.440202
G72	G27	1	0.085766	0.547952	0.143839
G73	G27	-1	-0.095517	0.583614	-0.170617
G78	G27	-1	-0.152035	0.887039	-0.412764
G82	G27	1	0.13824	0.815889	0.345208
G83	G27	-1	-0.066193	0.50508	-0.102327
G84	G27	1	0.221363	0.998656	0.676606
G85	G27	1	0.073447	0.573225	0.128858
G87	G27	1	0.092292	0.580034	0.163845
G88	G27	-1	-0.163023	0.954694	-0.476351
G91	G27	1	0.078364	0.63953	0.153389
G93	G27	-1	-0.095762	0.810235	-0.237475
G95	G27	1	0.08835	0.681859	0.18438
G97	G27	1	0.10071	0.67369	0.207657
G98	G27	1	0.195667	0.999939	0.598834
G100	G27	-1	-0.077343	0.646484	-0.153036
G1	G28	1	0.202303	0.993575	0.615205
G2	G28	1	0.219799	0.995678	0.669824
G3	G28	-1	-0.113043	0.827988	-0.286473
G7	G28	1	0.178207	0.998235	0.544467
G8	G28	1	0.105341	0.749216	0.241558
G9	G28	1	0.157678	0.83715	0.404009
G13	G28	-1	-0.155684	0.780334	-0.371826
G16	G28	1	0.132887	0.81348	0.330861
G20	G28	-1	-0.162476	0.832267	-0.413874
G28	G28	-1	-0.134869	0.876183	-0.361678
G31	G28	-1	-0.090082	0.508274	-0.140137
G33	G28	-1	-0.230861	0.996553	-0.704151
G39	G28	1	0.146426	0.839354	0.376166
G42	G28	-1	-0.129058	0.932634	-0.368393
G44	G28	1	0.12722	0.892003	0.347327
G49	G28	1	0.211655	0.999525	0.647498
G54	G28	1	0.129794	0.762161	0.302772
G61	G28	-1	-0.115662	0.624066	-0.22092
G62	G28	1	0.104808	0.662985	0.212674
G63	G28	1	0.073103	0.532959	0.119246
G64	G28	-1	-0.124968	0.842865	-0.322383
G69	G28	-1	-0.168722	0.980858	-0.506516
G70	G28	-1	-0.191591	0.96851	-0.567929
G74	G28	-1	-0.090744	0.568741	-0.15796
G77	G28	-1	-0.131322	0.820096	-0.329623
G86	G28	-1	-0.091041	0.508416	-0.141668
G87	G28	1	0.202454	0.983598	0.60948
G89	G28	1	0.127546	0.841551	0.328521
G90	G28	1	0.16503	0.993459	0.501796
G93	G28	1	0.10249	0.804462	0.25235
G95	G28	1	0.150209	0.957732	0.440307
G96	G28	-1	-0.132479	0.945182	-0.383248
G97	G28	-1	-0.14106	0.848182	-0.366192
G98	G28	1	0.128032	0.924169	0.362147
G1	G29	1	0.127471	0.802948	0.313267
G3	G29	1	0.237054	0.999973	0.725524
G4	G29	-1	-0.094698	0.642918	-0.186344
G7	G29	1	0.079889	0.620454	0.15171
G8	G29	1	0.075763	0.534483	0.123938
G9	G29	1	0.1817	0.93938	0.522409
G16	G29	-1	-0.120713	0.749544	-0.276929
G19	G29	1	0.135687	0.74985	0.311408
G20	G29	1	0.124322	0.660762	0.251425
G21	G29	1	0.206681	0.997677	0.631112
G24	G29	1	0.102945	0.679216	0.214008
G28	G29	1	0.153122	0.958971	0.449425
G32	G29	-1	-0.115202	0.602877	-0.212571
G35	G29	-1	-0.106127	0.839278	-0.272614
G42	G29	1	0.114587	0.876323	0.307338
G43	G29	-1	-0.144992	0.972979	-0.431782
G47	G29	-1	-0.119463	0.888283	-0.324787
G51	G29	-1	-0.100961	0.748603	-0.231324
G54	G29	-1	-0.15938	0.91037	-0.444085
G61	G29	-1	-0.097356	0.533646	-0.159012
G63	G29	-1	-0.096149	0.75382	-0.221834
G67	G29	-1	-0.173727	0.979991	-0.521079
G69	G29	1	0.121862	0.840893	0.313636
G70	G29	1	0.164394	0.90787	0.456798
G71	G29	1	0.094055	0.585879	0.168657
G72	G29	1	0.162341	0.952784	0.473411
G73	G29	1	0.135945	0.800675	0.333147
G74	G29	1	0.190907	0.996967	0.58253
G75	G29	1	0.116	0.830298	0.294787
G78	G29	1	0.138759	0.780082	0.331297
G79	G29	1	0.116889	0.71428	0.255539
G81	G29	-1	-0.132869	0.895325	-0.364101
G83	G29	-1	-0.144273	0.974587	-0.430351
G84	G29	1	0.119927	0.727755	0.267127
G85	G29	1	0.136415	0.94254	0.393528
G86	G29	-1	-0.098385	0.564935	-0.170115
G89	G29	1	0.161726	0.979165	0.484676
G95	G29	1	0.229255	0.999846	0.701564
G96	G29	1	0.111505	0.874703	0.298519
G99	G29	-1	-0.078163	0.568212	-0.135934
G1	G30	1	0.111771	0.788546	0.269757
G2	G30	1	0.191403	0.995234	0.583028
G3	G30	-1	-0.114595	0.911864	-0.319824
G5	G30	-1	-0.086242	0.748618	-0.197604
G11	G30	-1	-0.124312	0.723451	-0.275257
G20	G30	1	0.130001	0.768238	0.305675
G24	G30	1	0.105481	0.78816	0.254452
G25	G30	-1	-0.127849	0.814329	-0.318649
G26	G30	1	0.148413	0.996081	0.452461
G27	G30	1	0.139386	0.976414	0.416552
G29	G30	-1	-0.130288	0.925106	-0.368904
G33	G30	1	0.156433	0.947069	0.453445
G34	G30	1	0.138098	0.88771	0.37521
G35	G30	-1	-0.064736	0.543322	-0.107651
G36	G30	1	0.122331	0.976298	0.36554
G38	G30	1	0.126709	0.776241	0.301036
G40	G30	1	0.120168	0.964014	0.354558
G43	G30	-1	-0.179955	0.99983	-0.550687
G45	G30	1	0.073379	0.630491	0.141601
G50	G30	-1	-0.108216	0.752058	-0.249091
G55	G30	1	0.126281	0.94642	0.365794
G56	G30	1	0.13089	0.961126	0.385036
G57	G30	-1	-0.113685	0.862471	-0.300099
G59	G30	1	0.086186	0.536313	0.141472
G60	G30	-1	-0.102128	0.717072	-0.224142
G61	G30	1	0.095272	0.583779	0.170227
G65	G30	1	0.140581	0.975396	0.419685
G69	G30	1	0.141241	0.971075	0.419787
G71	G30	-1	-0.088329	0.614578	-0.166149
G73	G30	-1	-0.161795	0.96722	-0.478967
G75	G30	1	0.224315	0.999991	0.686546
G78	G30	-1	-0.086035	0.529088	-0.139321
G84	G30	1	0.109727	0.736838	0.247457
G85	G30	1	0.093965	0.795032	0.228648
G87	G30	1	0.082329	0.534579	0.134703
G91	G30	-1	-0.064739	0.526709	-0.104364
G93	G30	1	0.06599	0.553138	0.111719
G94	G30	-1	-0.117814	0.884565	-0.318963
G95	G30	1	0.065101	0.500795	0.099784
G97	G30	1	0.10359	0.721845	0.228865
G98	G30	1	0.066724	0.546272	0.111559
G3	G31	1	0.165328	0.996686	0.504338
G4	G31	-1	-0.111701	0.84878	-0.29018
G7	G31	1	0.065153	0.541697	0.108021
G8	G31	1	0.095056	0.766061	0.222874
G12	G31	1	0.131192	0.940196	0.377522
G16	G31	1	0.160161	0.98402	0.482364
G17	G31	-1	-0.089295	0.664306	-0.181557
G22	G31	-1	-0.089479	0.597964	-0.163762
G24	G31	-1	-0.100917	0.745608	-0.230297
G38	G31	-1	-0.098128	0.604389	-0.181519
G40	G31	-1	-0.062416	0.525647	-0.100416
G41	G31	-1	-0.132035	0.878094	-0.35485
G46	G31	-1	-0.086538	0.705124	-0.186761
G47	G31	1	0.114978	0.912667	0.321175
G48	G31	1	0.10295	0.834979	0.263099
G49	G31	1	0.135479	0.955062	0.396023
G50	G31	1	0.126522	0.858142	0.332308
G53	G31	-1	-0.147861	0.97076	-0.439319
G56	G31	1	0.113564	0.876944	0.304809
G57	G31	-1	-0.089252	0.660171	-0.180339
G60	G31	1	0.105845	0.740628	0.239931
G61	G31	-1	-0.111844	0.685478	-0.234651
G62	G31	-1	-0.079523	0.537197	-0.130751
G63	G31	1	0.08249	0.717659	0.181191
G64	G31	-1	-0.100139	0.766978	-0.235071
G65	G31	1	0.211751	0.99994	0.648059
G67	G31	1	0.080196	0.596492	0.14641
G71	G31	-1	-0.174578	0.996217	-0.532303
G72	G31	1	0.119963	0.835437	0.306743
G74	G31	1	0.098445	0.72477	0.218379
G76	G31	1	0.126763	0.963272	0.37373
G81	G31	-1	-0.154965	0.985442	-0.467391
G83	G31	-1	-0.163406	0.998667	-0.499463
G87	G31	1	0.078505	0.503711	0.121031
G93	G31	1	0.089131	0.777937	0.212221
G94	G31	1	0.170853	0.99668	0.521189
G95	G31	1	0.101359	0.813373	0.25233
G96	G31	-1	-0.137707	0.984594	-0.414983
G97	G31	1	0.108989	0.75679	0.252448
G6	G32	1	0.090804	0.62585	0.173936
G7	G32	1	0.151414	0.999761	0.463316
G16	G32	1	0.089067	0.715363	0.195012
G18	G32	1	0.100559	0.907245	0.27923
G19	G32	-1	-0.110356	0.790905	-0.267138
G24	G32	1	0.07249	0.617593	0.137023
G28	G32	1	0.068368	0.564955	0.118218
G30	G32	-1	-0.086715	0.811445	-0.215363
G31	G32	1	0.087638	0.697363	0.187055
G35	G32	1	0.093544	0.918523	0.262978
G36	G32	-1	-0.062911	0.571992	-0.110137
G42	G32	-1	-0.09376	0.921226	-0.264363
G43	G32	1	0.092325	0.905133	0.255769
G47	G32	1	0.078921	0.784107	0.189401
G49	G32	-1	-0.086343	0.774632	-0.20471
G52	G32	-1	-0.100816	0.942041	-0.29068
G55	G32	-1	-0.128586	0.988109	-0.388878
G56	G32	1	0.066906	0.561492	0.114981
G58	G32	1	0.077206	0.654318	0.154617
G60	G32	1	0.106082	0.861685	0.279773
G65	G32	-1	-0.108618	0.943144	-0.313541
G68	G32	-1	-0.067682	0.615789	-0.127561
G69	G32	1	0.072486	0.638784	0.141718
G74	G32	-1	-0.08845	0.783542	-0.212118
G75	G32	-1	-0.078898	0.745575	-0.180042
G81	G32	1	0.086836	0.781769	0.207775
G82	G32	-1	-0.090372	0.653697	-0.180811
G89	G32	1	0.104154	0.905681	0.288714
G91	G32	-1	-0.060355	0.591936	-0.109346
G92	G32	-1	-0.098856	0.889998	-0.269282
G93	G32	-1	-0.052621	0.511797	-0.082428
G98	G32	-1	-0.077477	0.78146	-0.185307
G9	G33	-1	-0.138651	0.89215	-0.378597
G10	G33	1	0.14188	0.991206	0.430429
G17	G33	1	0.111968	0.912643	0.31276
G19	G33	1	0.140244	0.900943	0.386719
G24	G33	1	0.07178	0.560799	0.123204
G27	G33	-1	-0.066251	0.560194	-0.113591
G33	G33	1	0.138322	0.93147	0.394343
G35	G33	1	0.11184	0.966982	0.331003
G38	G33	1	0.088959	0.598465	0.162947
G40	G33	1	0.093575	0.896	0.256616
G41	G33	1	0.105258	0.779861	0.25124
G44	G33	-1	-0.117717	0.946214	-0.340913
G45	G33	-1	-0.062163	0.571227	-0.108681
G55	G33	1	0.064562	0.547251	0.108137
G63	G33	-1	-0.081301	0.774913	-0.192826
G65	G33	1	0.137451	0.988587	0.41589
G67	G33	-1	-0.139817	0.976409	-0.417838
G77	G33	1	0.091671	0.720002	0.202014
G84	G33	-1	-0.121894	0.863553	-0.322171
G88	G33	1	0.098324	0.709655	0.213562
G89	G33	-1	-0.083856	0.644913	-0.16552
G95	G33	1	0.139871	0.988267	0.423076
G100	G33	1	0.063142	0.594909	0.114969
G1	G34	-1	-0.127863	0.923627	-0.361457
G2	G34	-1	-0.084555	0.622492	-0.161097
G3	G34	1	0.163039	0.998873	0.498445
G5	G34	-1	-0.17963	0.999941	-0.549755
G10	G34	-1	-0.076092	0.609224	-0.141882
G11	G34	1	0.150665	0.90779	0.418614
G16	G34	1	0.123107	0.906961	0.341733
G18	G34	-1	-0.166167	0.99842	-0.507779
G23	G34	1	0.087292	0.693446	0.185269
G24	G34	1	0.121829	0.937032	0.349398
G32	G34	-1	-0.111936	0.702444	-0.240657
G40	G34	-1	-0.085033	0.816995	-0.212628
G41	G34	1	0.148212	0.974396	0.442012
G42	G34	-1	-0.083745	0.773705	-0.198312
G44	G34	1	0.114143	0.942254	0.329179
G45	G34	-1	-0.057416	0.517069	-0.090865
G46	G34	1	0.112989	0.960475	0.332153
G48	G34	1	0.066354	0.544892	0.110661
G50	G34	1	0.143446	0.964244	0.423343
G51	G34	-1	-0.078062	0.676821	-0.161707
G52	G34	1	0.064554	0.58289	0.115167
G53	G34	1	0.114541	0.907661	0.318199
G57	G34	1	0.087004	0.718547	0.191343
G65	G34	-1	-0.098145	0.834564	-0.250693
G73	G34	1	0.099003	0.698809	0.21175
G75	G34	-1	-0.086541	0.747691	-0.198043
G81	G34	1	0.16787	0.998467	0.513006
G85	G34	1	0.12118	0.970651	0.360005
G88	G34	1	0.169319	0.990965	0.513546
G89	G34	-1	-0.089856	0.698824	-0.192191
G93	G34	1	0.111329	0.962762	0.328051
G94	G34	1	0.064658	0.513067	0.101534
G98	G34	1	0.101418	0.909915	0.282443
G1	G35	1	0.085259	0.547036	0.142748
G5	G35	1	0.127315	0.964074	0.375668
G6	G35	-1	-0.117748	0.655456	-0.236217
G7	G35	1	0.191937	0.999877	0.587381
G15	G35	-1	-0.165361	0.887334	-0.449091
G17	G35	1	0.076533	0.516865	0.121071
G18	G35	1	0.069595	0.51395	0.109475
G21	G35	1	0.153414	0.949185	0.445688
G22	G35	-1	-0.100981	0.643171	-0.198784
G23	G35	-1	-0.139156	0.918897	-0.391367
G24	G35	1	0.089778	0.609423	0.167458
G26	G35	1	0.097786	0.805229	0.240998
G27	G35	1	0.144867	0.972453	0.431176
G30	G35	1	0.070164	0.50845	0.109189
G32	G35	-1	-0.110814	0.607131	-0.205917
G38	G35	1	0.106278	0.623659	0.202865
G40	G35	1	0.122872	0.952241	0.358108
