SourceGENES	TargetGENES	Edges	Interaction
VDR	NFYC	-1	0.047873067
MYEF2	HOXA13	1	0.0477923
MYEF2	HOXA10	-1	0.047387257
UHRF1	RUNX1	1	0.047178047
FOS	FOSB	1	0.047058063
ELK1	JUN	-1	0.04686196
NFE2L1	VDR	1	0.04669533
RXRB	LMO2	1	0.046415451
NFYC	IRF8	-1	0.046151897
NFYC	HOXA13	1	0.045941243
LMO2	KLF13	-1	0.045891816
MYEF2	MYB	-1	0.045856553
LMO2	MYEF2	-1	0.045833915
IRF8	VDR	1	0.045761201
VDR	SPI1	1	0.045634601
SMAD4	FOS	1	0.045600905
UHRF1	TCFL5	1	0.045405911
FOS	PPARG	1	0.045397172
ETS1	LMO2	1	0.045390501
NFYC	HOXA10	-1	0.045175227
UHRF1	FLI1	-1	0.045102333
HOXA13	ETS1	-1	0.045069182
VDR	RREB1	-1	0.045033498
UHRF1	TRIM28	1	0.044993578
VDR	TCF3	1	0.044983156
CEBPD	FOS	-1	0.044459179
RXRB	KLF10	-1	0.044386064
NFYC	MYB	1	0.04429808
ELK1	MYEF2	-1	0.044276434
LMO2	SPIB	-1	0.044263169
NFE2L1	CBFB	1	0.044233764
CEBPD	JUN	1	0.044057489
STAT1	MYEF2	-1	0.043988671
ETS1	KLF10	-1	0.043911058
VDR	STAT1	-1	0.043763052
CBFB	VDR	1	0.043699115
VDR	SMAD4	1	0.043668659
KLF13	ETS1	-1	0.043663495
UHRF1	SP3	1	0.043603683
NFE2L1	TFPT	1	0.043328285
RUNX1	BCL6	-1	0.043200797
STAT1	NFATC1	-1	0.04302083
RUNX1	PRDM1	-1	0.043018665
STAT1	KLF13	1	0.042979959
ELK1	NFATC1	1	0.04281221
ELK1	SPIB	1	0.042772414
VDR	RUNX1	1	0.04270925
SMAD4	BCL6	-1	0.042488957
RUNX1	PPARG	-1	0.04242657
ELK1	KLF13	1	0.042155932
LMO2	SNAI3	1	0.042150068
IRF8	CBFB	1	0.042027223
RUNX1	VDR	1	0.041845399
STAT1	SPIB	-1	0.041821476
UHRF1	IRF8	1	0.041809469
ELK1	BCL6	-1	0.041732334
NFE2L1	NFE2L1	1	0.041639742
SMAD4	MYEF2	-1	0.041530077
MYEF2	LMO2	-1	0.041468943
SMAD4	JUN	1	0.041461515
UHRF1	HOXA13	-1	0.041185227
SPIB	EGR2	-1	0.041182378
RUNX1	TFPT	-1	0.041180222
IRF8	TFPT	1	0.041163062
CBFB	CBFB	1	0.041115928
NFE2L1	SNAI1	-1	0.040971956
VDR	TCFL5	-1	0.040916271
UHRF1	HOXA10	1	0.04088647
RUNX1	CEBPB	-1	0.040855313
IRF8	NFE2L1	-1	0.04069972
TCFL5	ETS1	-1	0.040684455
SMAD4	SPIB	1	0.040658284
VDR	FLI1	1	0.040622726
NFE2L1	CEBPB	1	0.040516527
CEBPD	BCL6	-1	0.040346676
CEBPD	MYEF2	1	0.040333465
VDR	TRIM28	-1	0.040218685
MYEF2	KLF10	1	0.040085858
FOS	PRDM1	-1	0.039821115
IRF8	SNAI1	-1	0.039783979
SMAD4	NFATC1	-1	0.039686545
UHRF1	MYB	1	0.039596334
CEBPD	NFATC1	1	0.039471663
CEBPD	SPIB	1	0.039319754
LMO2	ELK1	-1	0.03930057
RUNX1	SNAI1	-1	0.039155077
NFYC	LMO2	1	0.039149563
NFE2L1	SMAD3	1	0.038962875
VDR	SP3	1	0.038942862
CBFB	TFPT	-1	0.038734984
RUNX1	NFE2L1	1	0.038693854
SMAD4	KLF13	1	0.038682754
IRF8	CEBPB	-1	0.0385459
CBFB	NFE2L1	1	0.038312636
CEBPD	KLF13	1	0.038254129
RUNX1	SMAD3	1	0.038218826
KLF13	JUN	1	0.037905738
VDR	IRF8	1	0.037865253
RUNX1	CBFB	-1	0.037759398
IRF8	SMAD3	1	0.037585051
HOXA13	FOS	-1	0.037390239
STAT1	BCL6	1	0.037387535
VDR	HOXA13	-1	0.037163225
CBFB	SNAI1	-1	0.037054311
LMO2	BCL6	1	0.036934815
NFE2L1	CEBPD	1	0.036853223
STAT1	SNAI3	1	0.036840079
RUNX1	NFATC2	-1	0.036808785
VDR	HOXA10	1	0.036793815
KLF13	FOS	1	0.036504628
NFYC	KLF10	1	0.036438169
NFE2L1	NFATC2	-1	0.036407765
STAT1	ELK1	-1	0.036376201
ELK1	SNAI3	1	0.036188879
ELK1	ELK1	1	0.036061207
UHRF1	LMO2	-1	0.035836291
HOXA13	BCL6	-1	0.035803566
FOS	VDR	1	0.035799099
IRF8	CEBPD	1	0.035765796
IRF8	MAFB	-1	0.035765552
NFE2L1	MAFB	-1	0.035714737
VDR	MYB	1	0.035619611
CBFB	CEBPB	1	0.035472001
LMO2	FOSB	-1	0.035324615
CBFB	MAFB	1	0.035303035
IRF8	NFATC2	1	0.034938572
NFE2L1	NFYA	1	0.034895846
CBFB	SMAD3	-1	0.0347503
RUNX1	CEBPD	1	0.034718138
UHRF1	KLF10	1	0.034711723
ELK1	PPARG	1	0.034658791
ELK1	FOSB	1	0.034577973
SMAD4	PPARG	1	0.034260833
HOXA13	MYEF2	1	0.03422214
NFE2L1	PPARD	1	0.034199677
FOS	CBFB	-1	0.0340478
IRF8	PPARD	1	0.034034734
IRF8	NFYA	1	0.03402141
HOXA13	JUN	1	0.033895478
TCFL5	FOS	-1	0.033705067
FOS	TFPT	-1	0.033701101
STAT1	FOSB	-1	0.033643636
CBFB	CEBPD	1	0.03355262
RUNX1	NFYA	1	0.033409727
HOXA13	SPIB	1	0.033365129
CEBPD	SNAI3	-1	0.033348545
RXRB	EGR2	-1	0.033302269
SMAD4	ELK1	1	0.033253419
KLF13	NFATC1	1	0.033136592
KLF13	BCL6	-1	0.033082085
KLF13	MYEF2	1	0.033073466
SMAD4	SNAI3	1	0.033021785
SMAD4	FOSB	1	0.032964845
NFE2L1	RXRB	1	0.032913708
NFE2L1	UHRF1	1	0.032858314
ETS1	EGR2	1	0.03267469
NFE2L1	NFYC	-1	0.03265776
CBFB	PPARD	1	0.032631472
IRF8	RXRB	1	0.03256737
CEBPD	ELK1	-1	0.032468729
KLF13	SPIB	-1	0.032378238
VDR	LMO2	1	0.03234849
IRF8	UHRF1	1	0.032249635
CEBPD	PPARG	1	0.032238637
TCFL5	JUN	-1	0.032232711
STAT1	PPARG	-1	0.032203653
IRF8	NFYC	-1	0.032199173
TCFL5	BCL6	1	0.032135438
HOXA13	NFATC1	1	0.032114362
FOS	NFE2L1	1	0.03204091
CBFB	NFATC2	1	0.031916242
HOXA13	KLF13	-1	0.031837729
VDR	KLF10	-1	0.031798
CEBPD	FOSB	1	0.031686655
FOS	CEBPB	-1	0.031670837
FOS	SNAI1	1	0.031667645
CBFB	NFYA	1	0.03153547
KLF13	KLF13	1	0.031532234
LMO2	PPARG	1	0.031473404
RUNX1	NFYC	1	0.031148047
NFE2L1	SPI1	-1	0.0310593
IRF8	SPI1	1	0.030921361
TCFL5	MYEF2	1	0.030815045
NFE2L1	RREB1	-1	0.030800305
RUNX1	RXRB	-1	0.030791608
NFE2L1	TCF3	1	0.030755402
CBFB	RXRB	1	0.030605558
RUNX1	UHRF1	1	0.030458575
TCFL5	SPIB	-1	0.030390316
CBFB	UHRF1	-1	0.030342977
NFATC1	ETS1	1	0.030271389
FOS	SMAD3	1	0.030236233
TCFL5	NFATC1	-1	0.030174172
CBFB	NFYC	1	0.029983284
RUNX1	PPARD	1	0.029938123
MYEF2	EGR2	1	0.029903484
NFE2L1	STAT1	1	0.029890608
NFE2L1	SMAD4	1	0.02984979
IRF8	TCF3	-1	0.029760617
CBFB	SPI1	1	0.029747739
IRF8	RREB1	1	0.029624144
LMO2	PRDM1	-1	0.02960474
RUNX1	TCF3	-1	0.029595271
ELK1	PRDM1	1	0.02956337
NFYA	ETS1	1	0.029499038
NFE2L1	RUNX1	1	0.029155912
IRF8	STAT1	1	0.029108985
RUNX1	RREB1	1	0.029075767
IRF8	SMAD4	-1	0.028887659
STAT1	PRDM1	1	0.028820832
TCFL5	KLF13	-1	0.02879928
RUNX1	MAFB	1	0.028590753
HOXA13	PPARG	-1	0.028552065
IRF8	RUNX1	1	0.028501438
RUNX1	STAT1	1	0.028464918
FOS	CEBPD	-1	0.028436265
FOS	NFATC2	1	0.028378623
SMAD4	PRDM1	1	0.028200939
RUNX1	SMAD4	1	0.028196352
KLF13	SNAI3	1	0.027988333
NFE2L1	TCFL5	1	0.02796932
LMO2	VDR	1	0.027882688
RUNX1	FLI1	1	0.027843862
LMO2	CBFB	1	0.027840444
LMO2	TFPT	1	0.027788673
NFYC	EGR2	-1	0.027773355
NFE2L1	FLI1	-1	0.027742906
RUNX1	RUNX1	1	0.027696123
CBFB	TCF3	1	0.027627446
CBFB	RREB1	-1	0.027606388
RUNX1	TRIM28	1	0.027583186
SNAI1	ETS1	1	0.027558559
NFE2L1	TRIM28	1	0.027544531
CEBPD	PRDM1	1	0.027359837
IRF8	FLI1	1	0.027212986
RUNX1	SP3	1	0.027197094
HOXA13	SNAI3	-1	0.027153522
IRF8	TCFL5	-1	0.027122536
HOXA13	ELK1	1	0.027069947
CBFB	SMAD4	1	0.027013278
HOXA13	FOSB	-1	0.02701143
CBFB	STAT1	-1	0.026999467
NFYA	JUN	1	0.026992749
FOS	MAFB	1	0.026946018
FOS	NFYA	-1	0.026918572
RUNX1	TCFL5	1	0.026889084
KLF13	ELK1	1	0.026796071
RUNX1	SPI1	1	0.026709152
NFE2L1	SP3	1	0.026664995
IRF8	TRIM28	-1	0.026411431
CBFB	RUNX1	-1	0.026404559
KLF13	PPARG	1	0.026191523
KLF13	FOSB	1	0.02604174
FOS	PPARD	1	0.026039498
LMO2	CEBPB	-1	0.025988185
STAT1	VDR	-1	0.025964537
ELK1	VDR	1	0.025906272
NFE2L1	IRF8	-1	0.025872015
UHRF1	EGR2	-1	0.025866309
IRF8	SP3	1	0.02570648
NFE2L1	HOXA13	1	0.02540918
NFYA	FOS	-1	0.025400837
NFATC1	BCL6	-1	0.025374889
TCFL5	PPARG	1	0.025339515
FOS	RXRB	-1	0.025270255
FOS	UHRF1	1	0.02524671
CBFB	TCFL5	1	0.025229028
RUNX1	HOXA10	-1	0.025162848
NFE2L1	HOXA10	1	0.025138863
FOS	NFYC	1	0.025131984
LMO2	SNAI1	1	0.025059398
LMO2	NFE2L1	-1	0.025025736
IRF8	IRF8	1	0.025012478
CBFB	FLI1	-1	0.024855265
TCFL5	SNAI3	1	0.024824982
TCFL5	ELK1	1	0.024673684
LMO2	SMAD3	1	0.024595907
TCFL5	FOSB	1	0.024585927
IRF8	HOXA10	1	0.024553253
IRF8	HOXA13	1	0.024493009
STAT1	TFPT	1	0.024386141
NFE2L1	MYB	1	0.024362075
NFATC1	FOS	-1	0.024357988
CBFB	TRIM28	1	0.024229936
ELK1	CBFB	1	0.024164195
SMAD4	VDR	1	0.024095514
STAT1	CBFB	-1	0.024041365
RUNX1	HOXA13	1	0.023866745
FOS	RREB1	1	0.02381518
FOS	TCF3	-1	0.023806808
ELK1	TFPT	1	0.023768669
RUNX1	IRF8	1	0.023640795
FOS	SPI1	1	0.02360096
CBFB	IRF8	1	0.023596946
CEBPD	VDR	1	0.023559763
RUNX1	MYB	1	0.023558611
VDR	EGR2	1	0.023524303
IRF8	MYB	1	0.023518451
CBFB	SP3	1	0.023477316
HOXA13	PRDM1	1	0.023465234
STAT1	NFE2L1	1	0.023379673
STAT1	CEBPB	-1	0.02329024
SNAI3	ETS1	1	0.02318802
STAT1	SNAI1	-1	0.023183887
LMO2	NFATC2	1	0.023178329
ELK1	NFE2L1	1	0.023103458
SNAI1	JUN	1	0.023088324
FOS	SMAD4	1	0.023066277
FOS	STAT1	1	0.023054491
SNAI1	FOS	1	0.022955573
CBFB	HOXA13	1	0.022931696
NFYA	MYEF2	1	0.022813379
NFYA	NFATC1	-1	0.022707177
ELK1	SNAI1	-1	0.022692065
NFATC1	MYEF2	1	0.022599579
CEBPD	CBFB	1	0.022586394
SMAD4	CBFB	1	0.022528068
CBFB	HOXA10	-1	0.022526602
FOS	RUNX1	1	0.022447756
LMO2	CEBPD	1	0.022441703
KLF13	PRDM1	1	0.022427506
STAT1	SMAD3	1	0.022398201
ELK1	CEBPB	1	0.022322225
NFATC1	SPIB	-1	0.02229941
NFYA	KLF13	1	0.022232002
NFE2L1	LMO2	-1	0.022087675
NFYA	SPIB	-1	0.021943969
CBFB	MYB	1	0.021807397
RUNX1	LMO2	1	0.021678149
CEBPD	TFPT	-1	0.02167809
NFE2L1	KLF10	1	0.02166246
IRF8	LMO2	1	0.021660201
FOS	TCFL5	-1	0.021644076
SMAD4	TFPT	-1	0.021608301
ELK1	SMAD3	-1	0.021593693
NFATC1	JUN	1	0.021528855
FOS	FLI1	1	0.021471243
FOS	TRIM28	-1	0.021466957
IRF8	KLF10	1	0.021419253
SMAD4	NFE2L1	1	0.021306534
SNAI1	BCL6	-1	0.021267319
NFYA	BCL6	-1	0.021233821
LMO2	NFYA	1	0.021176792
NFATC1	NFATC1	1	0.021068862
STAT1	NFATC2	1	0.021061999
TCFL5	PRDM1	-1	0.021007187
SNAI1	MYEF2	1	0.020899082
FOS	SP3	1	0.02080144
CEBPD	NFE2L1	1	0.020771233
STAT1	CEBPD	-1	0.020770636
SMAD4	SNAI1	-1	0.020735051
TCF3	ETS1	-1	0.020725063
NFATC1	KLF13	1	0.020648554
CBFB	KLF10	1	0.02063201
SNAI1	NFATC1	-1	0.02046104
ELK1	CEBPD	-1	0.020410218
SNAI1	SPIB	1	0.020389951
CEBPD	SNAI1	-1	0.020303466
ELK1	NFATC2	1	0.020146302
SNAI3	BCL6	1	0.020146151
CEBPD	CEBPB	1	0.01999871
LMO2	MAFB	-1	0.019993909
SMAD4	CEBPB	1	0.019975733
CBFB	LMO2	1	0.019972775
ELK1	MAFB	-1	0.01991536
FOS	IRF8	1	0.019909542
SNAI1	KLF13	1	0.019829164
STAT1	NFYA	1	0.019807022
HOXA13	VDR	-1	0.019719507
NFATC1	PPARG	-1	0.019677666
LMO2	PPARD	1	0.019666639
FOS	HOXA13	-1	0.019630122
LMO2	UHRF1	-1	0.01960302
FOS	HOXA10	-1	0.019498116
NFYA	SNAI3	1	0.019469052
CEBPD	SMAD3	1	0.019459159
KLF13	VDR	1	0.019437395
SMAD4	SMAD3	1	0.019383512
ELK1	NFYA	1	0.019372624
LMO2	RXRB	1	0.019369288
LMO2	NFYC	1	0.019346629
STAT1	MAFB	-1	0.019259976
SMAD4	MAFB	1	0.019125117
ELK1	PPARD	-1	0.01908757
LMO2	RREB1	1	0.019063627
KLF13	CBFB	-1	0.019035031
STAT1	PPARD	1	0.018942623
LMO2	TCF3	-1	0.018915504
FOS	MYB	-1	0.018872722
RUNX1	KLF10	1	0.01875057
SMAD4	CEBPD	1	0.018693092
STAT1	RXRB	1	0.018602744
NFYA	ELK1	1	0.018541107
STAT1	NFYC	1	0.018539488
STAT1	UHRF1	1	0.018470993
HOXA13	CBFB	1	0.018429087
ELK1	RXRB	-1	0.018376373
CEBPD	MAFB	1	0.018372477
CEBPD	CEBPD	1	0.018338386
LMO2	SMAD4	-1	0.018279492
ELK1	UHRF1	1	0.018266806
ELK1	NFYC	-1	0.018214572
SNAI3	FOS	-1	0.018193054
KLF13	TFPT	1	0.018145333
NFATC1	FOSB	1	0.018092758
LMO2	STAT1	1	0.018081953
CEBPD	NFATC2	-1	0.017978886
SMAD4	NFATC2	1	0.017966586
TCFL5	VDR	-1	0.017951876
SMAD4	PPARD	1	0.01792149
LMO2	SPI1	1	0.017749381
SMAD4	NFYA	-1	0.017659036
NFATC1	ELK1	1	0.017602566
NFATC1	SNAI3	1	0.017597001
HOXA13	TFPT	1	0.017576462
NFYA	FOSB	1	0.01755827
LMO2	RUNX1	1	0.017508004
LMO2	TRIM28	-1	0.017434209
STAT1	TCF3	1	0.017410184
SNAI1	SNAI3	1	0.017342711
HOXA13	NFE2L1	1	0.017342248
MYB	ETS1	-1	0.017337998
ELK1	SPI1	-1	0.017317242
CEBPD	PPARD	-1	0.017289845
STAT1	RREB1	1	0.017284011
SNAI3	JUN	1	0.017278622
CEBPD	NFYA	1	0.017250978
TCFL5	CBFB	1	0.017184003
NFYA	PPARG	-1	0.017158291
LMO2	TCFL5	1	0.017140968
SNAI3	MYEF2	-1	0.017122499
KLF13	NFE2L1	-1	0.017093789
STAT1	SPI1	1	0.017086874
FOS	LMO2	1	0.01706977
ELK1	TCF3	1	0.017007233
SMAD4	RXRB	-1	0.016972194
ELK1	RREB1	1	0.016965735
SNAI3	SPIB	-1	0.016956167
RREB1	ETS1	-1	0.01689776
STAT1	STAT1	1	0.016884858
SMAD4	UHRF1	1	0.016853377
TCF3	FOS	-1	0.016848563
LMO2	SP3	1	0.016843235
HOXA13	SNAI1	-1	0.01683514
TCF3	BCL6	-1	0.016824395
SNAI1	PPARG	1	0.016780722
STAT1	SMAD4	1	0.016774058
LMO2	FLI1	1	0.016760408
KLF13	SNAI1	1	0.016734669
SNAI1	ELK1	-1	0.01673438
SMAD4	NFYC	1	0.016730007
KLF13	CEBPB	1	0.016633234
ELK1	STAT1	-1	0.016567195
TCF3	JUN	-1	0.016505251
FOS	KLF10	1	0.016502414
STAT1	RUNX1	1	0.016488019
ELK1	SMAD4	1	0.016487996
CEBPD	RXRB	1	0.016460489
SNAI1	FOSB	1	0.016408488
CEBPD	UHRF1	-1	0.016407096
SMAD4	SPI1	1	0.016333429
TCFL5	TFPT	1	0.016268244
HOXA13	CEBPB	1	0.016215633
CEBPD	NFYC	-1	0.016197662
ELK1	RUNX1	-1	0.016190542
KLF13	SMAD3	1	0.016135658
SNAI3	NFATC1	1	0.016122892
STAT1	FLI1	1	0.016059343
NFE2L1	EGR2	-1	0.016046982
HOXA13	SMAD3	1	0.015981148
STAT1	TCFL5	1	0.015836798
STAT1	TRIM28	1	0.015812637
TCFL5	NFE2L1	1	0.015802686
LMO2	IRF8	1	0.015767699
IRF8	EGR2	-1	0.01575607
NFATC1	PRDM1	1	0.015748311
SNAI3	KLF13	1	0.015747762
HOXA13	MAFB	-1	0.015736008
CEBPD	SPI1	1	0.015694694
LMO2	HOXA13	1	0.015611475
TCF3	MYEF2	1	0.015542352
SMAD4	TCF3	-1	0.015509657
SMAD4	RREB1	1	0.015506822
ELK1	FLI1	1	0.015495399
ELK1	TCFL5	1	0.015481529
STAT1	SP3	-1	0.01546532
TCFL5	SNAI1	-1	0.015355967
NFYA	PRDM1	-1	0.015302491
TCF3	SPIB	1	0.015251325
TFPT	ETS1	1	0.01522932
HOXA13	CEBPD	1	0.015223387
ELK1	TRIM28	1	0.015209743
CEBPD	RREB1	1	0.015188999
CEBPD	TCF3	1	0.015180998
LMO2	HOXA10	1	0.015180819
SMAD4	STAT1	1	0.015155744
KLF13	CEBPD	1	0.015134083
SMAD4	SMAD4	1	0.015127452
LMO2	MYB	-1	0.015087814
KLF13	MAFB	-1	0.015077183
MYB	BCL6	-1	0.014961219
SNAI3	PPARG	1	0.014952659
TCF3	NFATC1	1	0.014950449
CBFB	EGR2	1	0.01493722
TCFL5	CEBPB	-1	0.014901181
KLF13	NFATC2	1	0.014892606
SMAD4	RUNX1	1	0.014810548
ELK1	SP3	-1	0.014784616
CEBPD	SMAD4	1	0.014776
CEBPD	STAT1	-1	0.014721678
HOXA13	PPARD	-1	0.014697767
HOXA13	NFATC2	1	0.01468867
RUNX1	EGR2	-1	0.01467945
TCF3	KLF13	-1	0.014551435
STAT1	HOXA10	-1	0.014427209
STAT1	IRF8	1	0.014390448
HOXA13	NFYA	1	0.014378017
CEBPD	RUNX1	1	0.014360073
TCFL5	SMAD3	-1	0.014310388
TCFL5	MAFB	1	0.014301195
ELK1	IRF8	1	0.014269696
SNAI1	PRDM1	1	0.014258078
RREB1	BCL6	-1	0.014249619
STAT1	HOXA13	-1	0.014234618
TFPT	BCL6	1	0.014189669
KLF13	NFYA	1	0.014176294
KLF13	PPARD	1	0.014149392
SMAD4	TCFL5	1	0.014140508
ELK1	HOXA13	1	0.014009669
ELK1	HOXA10	-1	0.013985159
SMAD4	FLI1	-1	0.013964191
TCFL5	CEBPD	1	0.013876824
HOXA13	RXRB	1	0.013874158
CEBPD	TCFL5	1	0.013834592
STAT1	MYB	1	0.013827478
HOXA13	UHRF1	-1	0.013753062
SNAI3	FOSB	-1	0.013667249
SMAD4	TRIM28	1	0.013664773
CEBPD	FLI1	1	0.013647374
MYB	JUN	-1	0.013646167
RREB1	FOS	1	0.013636557
HOXA13	NFYC	1	0.013619015
CEBPD	TRIM28	1	0.013562637
MYB	FOS	-1	0.013558078
KLF13	UHRF1	-1	0.013475314
ELK1	MYB	-1	0.013468595
KLF13	RXRB	1	0.013455583
SNAI3	SNAI3	1	0.013434173
NFYA	VDR	1	0.013431729
HOXA13	SPI1	-1	0.013370479
TCFL5	PPARD	1	0.013267466
LMO2	LMO2	1	0.013266115
TCFL5	NFATC2	1	0.013254856
KLF13	NFYC	1	0.013230997
SMAD4	SP3	1	0.0132189
CEBPD	SP3	1	0.013164564
SMAD4	IRF8	-1	0.013157035
SNAI3	ELK1	1	0.013061895
TCFL5	NFYA	1	0.012987614
NFYA	CBFB	1	0.012958483
TCF3	PPARG	1	0.012944856
NFATC1	VDR	1	0.012928377
CEBPD	IRF8	1	0.012858165
SMAD4	HOXA13	1	0.012848034
KLF13	SPI1	1	0.01284411
MYB	MYEF2	-1	0.012753924
SMAD4	HOXA10	-1	0.012709041
RREB1	MYEF2	1	0.012705518
NFYA	TFPT	-1	0.01269454
STAT1	LMO2	1	0.01264038
MYB	SPIB	1	0.012614289
TCF3	SNAI3	-1	0.01260731
LMO2	KLF10	1	0.012593437
KLF13	RREB1	1	0.012576668
CEBPD	HOXA13	1	0.012560586
HOXA13	TCF3	1	0.012552928
HOXA13	RREB1	1	0.01252394
KLF13	TCF3	-1	0.012521971
TCFL5	RXRB	1	0.01251954
TCFL5	UHRF1	1	0.012459665
RREB1	SPIB	1	0.012404329
FOS	EGR2	1	0.01231298
ELK1	LMO2	-1	0.012306269
TCFL5	NFYC	1	0.012305682
CEBPD	HOXA10	1	0.012304606
TCF3	FOSB	1	0.01228482
HOXA13	STAT1	-1	0.012272676
SMAD4	MYB	1	0.012237192
HOXA13	SMAD4	1	0.012229229
TCF3	ELK1	1	0.012205687
NFATC1	CBFB	-1	0.012203564
KLF13	SMAD4	1	0.012200888
MYB	NFATC1	1	0.012196876
SNAI1	VDR	1	0.012187899
SNAI3	PRDM1	-1	0.012142567
TCFL5	SPI1	-1	0.012094773
KLF13	STAT1	1	0.012093383
ELK1	KLF10	-1	0.012050423
CEBPD	MYB	1	0.012037665
HOXA13	RUNX1	1	0.012021205
RREB1	JUN	-1	0.012019243
STAT1	KLF10	1	0.011935449
NFYA	NFE2L1	1	0.0118954
SMAD3	ETS1	-1	0.011878263
MYB	KLF13	1	0.011848417
NFYA	CEBPB	-1	0.01183944
SNAI1	CBFB	-1	0.011775779
KLF13	RUNX1	1	0.011771336
NFYA	SNAI1	-1	0.011720723
RREB1	KLF13	1	0.011696828
RREB1	NFATC1	-1	0.011553429
TCFL5	RREB1	1	0.011510381
TCFL5	TCF3	1	0.011489076
NFYA	SMAD3	-1	0.011479674
HOXA13	TCFL5	-1	0.011453314
HOXA13	FLI1	1	0.011406342
KLF13	TCFL5	-1	0.011403108
TFPT	FOS	-1	0.011366763
SMAD4	KLF10	-1	0.011320312
NFATC1	TFPT	1	0.011320191
NFATC1	NFE2L1	-1	0.011261483
TCFL5	SMAD4	1	0.011244768
KLF13	TRIM28	1	0.011230619
SNAI1	TFPT	1	0.011224509
SMAD4	LMO2	-1	0.011208065
TCFL5	STAT1	1	0.011161271
KLF13	FLI1	1	0.01114133
HOXA13	TRIM28	-1	0.011082165
HOXA10	JUN	1	0.011022403
TFPT	SPIB	-1	0.010988285
MYB	PPARG	-1	0.010986291
RREB1	PPARG	-1	0.010976288
CEBPD	KLF10	-1	0.010970886
SMAD3	BCL6	1	0.010962548
TFPT	MYEF2	1	0.010945744
CEBPD	LMO2	1	0.010883509
KLF13	SP3	1	0.010870537
TCFL5	RUNX1	1	0.010865235
NFATC1	SNAI1	-1	0.010834819
HOXA13	SP3	1	0.01077946
TCF3	PRDM1	-1	0.010774711
SNAI1	NFE2L1	-1	0.010702553
HOXA13	IRF8	1	0.010669649
TFPT	JUN	1	0.010659523
NFYA	NFATC2	1	0.010647336
KLF13	IRF8	1	0.010642568
NFATC1	MAFB	1	0.010608079
NFYA	CEBPD	1	0.01056916
TCFL5	TCFL5	1	0.010484547
SNAI1	SNAI1	1	0.010445224
KLF13	HOXA13	-1	0.010390672
HOXA13	HOXA13	1	0.010377306
SNAI1	CEBPB	-1	0.010311457
NFATC1	CEBPB	-1	0.0102739
MYB	SNAI3	-1	0.010272765
HOXA13	HOXA10	1	0.010240664
TCFL5	FLI1	-1	0.010192257
NFATC1	SMAD3	1	0.010162132
NFYA	MAFB	1	0.010157511
TFPT	NFATC1	1	0.010155881
TFPT	PPARG	-1	0.010132783
TCFL5	TRIM28	1	0.010126921
MYB	FOSB	1	0.010125525
SNAI1	SMAD3	-1	0.01006962
KLF13	HOXA10	1	0.010052454
RREB1	FOSB	1	0.010028307
KLF13	MYB	1	0.009944708
NFYA	NFYA	1	0.009943971
HOXA13	MYB	1	0.00992905
NFATC1	CEBPD	1	0.009840939
SMAD3	JUN	1	0.00984087
TFPT	KLF13	1	0.009840864
TCFL5	IRF8	-1	0.009784365
RREB1	SNAI3	1	0.009770499
TCFL5	SP3	1	0.009764364
SNAI3	VDR	-1	0.009755678
RREB1	ELK1	1	0.009742021
MYB	ELK1	-1	0.009739593
NFYA	PPARD	1	0.009731668
NFATC1	PPARD	1	0.009698449
HOXA10	ETS1	1	0.009680383
TCFL5	HOXA13	-1	0.009559795
SNAI1	MAFB	1	0.00953955
LMO2	EGR2	-1	0.009497781
SNAI3	CBFB	-1	0.009464445
SNAI1	CEBPD	-1	0.009453757
NFYA	RXRB	-1	0.009417903
NFYA	UHRF1	1	0.009383607
TCFL5	HOXA10	1	0.009366524
NFYA	NFYC	1	0.009286529
HOXA13	KLF10	-1	0.009280392
SNAI1	NFATC2	1	0.009266584
NFATC1	NFATC2	1	0.009262651
NFATC1	NFYA	-1	0.009227536
HOXA13	LMO2	1	0.009097838
TCFL5	MYB	1	0.009064827
MYB	PRDM1	1	0.009064386
KLF13	KLF10	1	0.009018245
NFATC1	RXRB	-1	0.009011127
TCF3	VDR	1	0.008975483
STAT1	EGR2	1	0.008974529
SNAI1	PPARD	1	0.008933183
NFATC1	UHRF1	1	0.00893145
ELK1	EGR2	-1	0.008920146
RREB1	PRDM1	1	0.008904353
KLF13	LMO2	-1	0.008895108
FLI1	JUN	1	0.008892048
SNAI1	NFYA	-1	0.008865634
TFPT	FOSB	1	0.008860235
NFATC1	SPI1	-1	0.008853849
SMAD3	FOS	1	0.008797578
NFATC1	NFYC	1	0.008790285
NFYA	SPI1	1	0.00877589
NFYA	TCF3	1	0.008769845
NFYA	RREB1	1	0.008735101
TCF3	CBFB	1	0.008677128
SNAI3	TFPT	1	0.008592693
HOXA10	NFATC1	1	0.008508226
SMAD3	MYEF2	-1	0.008505634
SMAD3	SPIB	-1	0.00850491
NFYA	SMAD4	-1	0.00849219
HOXA10	FOS	-1	0.008487209
SNAI1	RXRB	1	0.008480872
SNAI1	UHRF1	-1	0.008454464
NFYA	STAT1	1	0.00844063
TFPT	SNAI3	1	0.008438221
TCFL5	KLF10	1	0.008417553
SNAI3	NFE2L1	1	0.008387544
SNAI1	NFYC	-1	0.008321772
SMAD3	NFATC1	1	0.00827153
SMAD4	EGR2	-1	0.008269623
TCFL5	LMO2	1	0.008236695
NFYA	RUNX1	1	0.008219157
